HackProgramList	HackProgramNum	1
LogAction	ActionNum	1
LogExchangeFlag	ExchangeFlag	1
LogHackProgram	HackNum	1
LogItemExchange	ExchangeNum	1
LogItemMax	NIDMain	1
LogItemMax	NIDSub	2
LogItemMax	SGNum	3
LogItemMax	SvrNum	4
LogItemMax	FldNum	5
LogItemMax	MakeType	6
LogItemRandom	RandomNum	1
LogMakeType	MakeType	1
LogPetAction	ActionNum	1
LogPetActionFlag	PetActionFlag	1
LogServerState	SvrStateNum	1
LogShopPurchase	PurNum	1
LogVehicleAction	ActionNum	1
LogVehicleActionFlag	VehicleActionFlag	1
ShopItemMap	ProductNum	1
ShopPurchase	PurKey	1
ShopPurFlag	PurFlag	1
SkillList	SkillMain	1
SkillList	SkillSub	2
