HackProgramList	HackProgramName	('')
LogAction	ActionDate	(getdate())
LogAction	ActionMoney	((0))
LogAction	BrightPoint	((0))
LogAction	ChaNum	((0))
LogAction	ExpPoint	((0))
LogAction	LifePoint	((0))
LogAction	TargetNum	((0))
LogAction	TargetType	((0))
LogAction	Type	((0))
LogHackProgram	ChaNum	((0))
LogHackProgram	HackComment	('')
LogHackProgram	HackDate	(getdate())
LogHackProgram	HackProgramNum	((0))
LogHackProgram	SGNum	((0))
LogHackProgram	SvrNum	((0))
LogHackProgram	UserNum	((0))
LogItemExchange	CostumeMID	((0))
LogItemExchange	CostumeSID	((0))
LogItemExchange	Damage	((0))
LogItemExchange	Defense	((0))
LogItemExchange	Electric	((0))
LogItemExchange	ExchangeDate	(getdate())
LogItemExchange	ExchangeFlag	((0))
LogItemExchange	Fire	((0))
LogItemExchange	FldNum	((0))
LogItemExchange	Ice	((0))
LogItemExchange	ItemAmount	((0))
LogItemExchange	ItemFrom	((0))
LogItemExchange	ItemFromFlag	((0))
LogItemExchange	ItemTo	((0))
LogItemExchange	ItemToFlag	((0))
LogItemExchange	MakeNum	((0))
LogItemExchange	MakeType	((0))
LogItemExchange	NIDMain	((0))
LogItemExchange	NIDSub	((0))
LogItemExchange	Poison	((0))
LogItemExchange	SGNum	((0))
LogItemExchange	Spirit	((0))
LogItemExchange	SvrNum	((0))
LogItemExchange	TradePrice	((0))
LogItemMax	FldNum	((0))
LogItemMax	MakeType	((0))
LogItemMax	MaxNum	((0))
LogItemMax	NIDMain	((0))
LogItemMax	NIDSub	((0))
LogItemMax	SGNum	((0))
LogItemMax	SvrNum	((0))
LogItemRandom	FldNum	((0))
LogItemRandom	MakeNum	((0))
LogItemRandom	MakeType	((0))
LogItemRandom	NIDMain	((0))
LogItemRandom	NIDSub	((0))
LogItemRandom	RandomDate	(getdate())
LogItemRandom	RandomType1	((0))
LogItemRandom	RandomType2	((0))
LogItemRandom	RandomType3	((0))
LogItemRandom	RandomType4	((0))
LogItemRandom	RandomValue1	((0))
LogItemRandom	RandomValue2	((0))
LogItemRandom	RandomValue3	((0))
LogItemRandom	RandomValue4	((0))
LogItemRandom	SGNum	((0))
LogItemRandom	SvrNum	((0))
LogPetAction	ActionType	((0))
LogPetAction	ItemMID	((0))
LogPetAction	ItemSID	((0))
LogPetAction	LogDate	(getdate())
LogPetAction	PetFull	((0))
LogPetAction	PetNum	((0))
LogServerState	LogDate	(getdate())
LogServerState	SGNum	((0))
LogServerState	SvrNum	((0))
LogServerState	UserMaxNum	((0))
LogServerState	UserNum	((0))
LogShopPurchase	PurDate	(getdate())
LogVehicleAction	ActionType	((0))
LogVehicleAction	ItemMID	((0))
LogVehicleAction	ItemSID	((0))
LogVehicleAction	LogDate	(getdate())
LogVehicleAction	VehicleBattery	((0))
LogVehicleAction	VehicleNum	((0))
ShopPurchase	PurDate	(getdate())
ShopPurchase	PurFlag	((0))
ShopPurchase	PurPrice	((0))
